Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
110,CD Tau,s,05 17 31.15,+20 07 54.63,F6V,1.3660,0.0160,1.5840,0.0200,4.174,0.012,6200,50,*,CD Tau
111,AR Aur,p,05 18 18.90,+33 46 02.45,B9V,2.5435,0.0051,1.8237,0.0099,4.322,0.005,10950,300,*,AR Aur
112,AR Aur,s,05 18 18.90,+33 46 02.45,B9.6V,2.3567,0.0047,1.8108,0.0083,4.295,0.004,10350,300,*,AR Aur
113,EW Ori,p,05 20 09.15,+02 02 39.97,G0V,1.1730,0.0110,1.1690,0.0050,4.372,0.006,6070,95,*,EW Ori
114,EW Ori,s,05 20 09.15,+02 02 39.97,G5V,1.1230,0.0090,1.0980,0.0050,4.408,0.005,5900,95,*,EW Ori
115,2MASS J05282082+0338327,p,05 28 20.82,+03 38 32.80,K1V,1.3660,0.0110,1.8350,0.0100,4.047,0.006,5103,26,*,2MASS J05282082+0338327
116,2MASS J05282082+0338327,s,05 28 20.82,+03 38 32.80,K3V,1.3270,0.0080,1.7350,0.0100,4.083,0.006,4751,26,*,2MASS J05282082+0338327
117,AS Cam,p,05 29 46.91,+69 29 45.36,B8V,3.3120,0.1000,2.6170,0.0400,4.123,0.019,12000,600,**,AS Cam
118,AS Cam,s,05 29 46.91,+69 29 45.36,B9.5V,2.5080,0.1000,1.9930,0.0400,4.239,0.025,10700,520,**,AS Cam
119,UX Men,p,05 30 03.18,-76 14 55.34,F8V,1.2350,0.0060,1.3490,0.0130,4.270,0.009,6200,100,*,UX Men
120,UX Men,s,05 30 03.18,-76 14 55.34,F8V,1.1960,0.0070,1.2750,0.0130,4.305,0.009,6150,100,*,UX Men
121,TZ Men,p,05 30 13.89,-84 47 06.37,B9.5V,2.4820,0.0250,2.0170,0.0200,4.224,0.010,10400,500,*,TZ Men
122,TZ Men,s,05 30 13.89,-84 47 06.37,A,1.5000,0.0100,1.4330,0.0150,4.302,0.010,7200,300,*,TZ Men
123,V1174 Ori,p,05 34 27.85,-05 41 37.80,K4.5V,1.0100,0.0150,1.3470,0.0150,4.184,0.012,4470,120,*,V1174 Ori
124,V1174 Ori,s,05 34 27.85,-05 41 37.80,M1.5V,0.7310,0.0080,1.0710,0.0110,4.243,0.010,3615,100,2,V1174 Ori
125,V432 Aur,p,05 37 32.51,+37 05 12.26,F7V,1.0800,0.0160,2.4640,0.0200,3.688,0.010,6080,85,2,V432 Aur
126,V432 Aur,s,05 37 32.51,+37 05 12.26,F8V,1.2240,0.0160,1.2320,0.0060,4.345,0.007,6685,8,*,V432 Aur
127,GG Ori,p,05 43 10.22,+00 41 14.90,A2V,2.3420,0.0160,1.8520,0.0250,4.273,0.012,9950,200,*,GG Ori
128,GG Ori,s,05 43 10.22,+00 41 14.90,A2V,2.3370,0.0170,1.8300,0.0250,4.282,0.012,9950,200,*,GG Ori
129,HATS551-027,p,05 44 57.92,-24 56 09.60,M4/5.5V,0.2440,0.0030,0.2610,0.0090,4.992,0.030,3190,100,**,LP 837-20
130,HATS551-027,s,05 44 57.92,-24 56 09.60,M4/5.5V,0.1790,0.0020,0.2180,0.0110,5.014,0.044,2990,110,**,LP 837-20
131,V1031 Ori,p,05 47 26.89,-10 31 58.65,A6V,2.2810,0.0170,4.3490,0.0340,3.520,0.008,7850,500,*,V1031 Ori
132,V1031 Ori,s,05 47 26.89,-10 31 58.65,A3V,2.4670,0.0180,3.0060,0.0640,3.875,0.019,8400,500,*,V1031 Ori
133,beta Aur,p,05 59 31.72,+44 56 50.76,A1Vm,2.3690,0.0270,2.7620,0.0170,3.930,0.007,9350,200,*,beta Aur
134,beta Aur,s,05 59 31.72,+44 56 50.76,A1Vm,2.2950,0.0270,2.5680,0.0170,3.980,0.008,9200,200,*,beta Aur
135,V1388 Ori,p,06 10 59.17,+11 59 41.49,B2.5IV-V,7.4210,0.0800,5.6040,0.0400,3.812,0.008,20500,500,*,V1388 Ori
136,V1388 Ori,s,06 10 59.17,+11 59 41.49,B3V,5.1560,0.0300,3.7630,0.0300,4.000,0.007,18500,500,*,V1388 Ori
137,FT Ori,p,06 13 58.15,+21 25 39.18,A0,2.1680,0.0220,1.8710,0.0130,4.230,0.007,9600,400,*,FT Ori
138,FT Ori,s,06 13 58.15,+21 25 39.18,A2,1.7730,0.0200,1.6260,0.0130,4.265,0.008,8600,300,*,FT Ori
139,V404 CMa,p,06 15 55.42,-18 44 51.54,K,0.7500,0.0050,0.7210,0.0140,4.598,0.017,4200,100,*,V404 CMa
140,V404 CMa,s,06 15 55.42,-18 44 51.54,M,0.6590,0.0050,0.6820,0.0170,4.590,0.022,3940,20,*,V404 CMa
141,IM Mon,p,06 23 01.47,-03 16 37.11,B4V,5.5060,0.2400,3.1510,0.0400,4.182,0.022,17500,350,**,IM Mon
142,IM Mon,s,06 23 01.47,-03 16 37.11,B6.5V,3.3380,0.1610,2.3610,0.0300,4.216,0.024,14500,550,**,IM Mon
143,RR Lyn,p,06 26 25.84,+56 17 06.35,A6IV,1.9310,0.0080,2.5570,0.0200,3.909,0.007,7570,100,*,RR Lyn
144,RR Lyn,s,06 26 25.84,+56 17 06.35,F0V,1.5170,0.0040,1.5820,0.0300,4.221,0.017,6980,100,*,RR Lyn
145,KL CMa,p,06 30 29.79,-14 57 15.73,B8V,3.5500,0.2700,2.3700,0.0900,4.239,0.047,13200,100,***,KL CMa
146,KL CMa,s,06 30 29.79,-14 57 15.73,B9V,2.9500,0.2400,1.7000,0.1000,4.447,0.062,12250,600,***,KL CMa
147,V578 Mon,p,06 32 00.61,+04 52 40.90,B1V,14.5400,0.0800,5.4100,0.0400,4.135,0.007,30000,500,*,V578 Mon
148,V578 Mon,s,06 32 00.61,+04 52 40.90,B,10.2900,0.0600,4.2900,0.0500,4.186,0.010,25750,435,*,V578 Mon
149,WW Aur,p,06 32 27.18,+32 27 17.63,A4m,1.9640,0.0070,1.9280,0.0110,4.161,0.005,7960,420,*,WW Aur
